x,y
0.060548,-0.384525
0.058360,-0.461084
0.163355,-0.507019
0.039972,-1.957123
-0.015886,-1.884079
0.095829,-1.793848
0.302071,-1.755178
0.177466,-1.634870
0.001301,-1.673540
0.082939,-1.514562
0.220433,-1.458705
0.323554,-1.557529
0.443862,-1.677837
0.611433,-1.604793
0.482532,-1.501672
0.379411,-1.377068
0.662994,-1.407145
0.809082,-1.505969
0.959467,-1.402848
0.322924,0.020460
0.402221,0.082519
0.502205,0.041146
0.484966,0.137682
0.598741,0.103205
0.705620,0.061832
0.705620,0.175607
0.802156,0.144578
0.909035,0.103205
1.005571,0.065280
1.026257,0.179055
1.126241,0.141130
1.229672,0.220427
1.246911,0.106653
1.371028,0.058385
1.350342,0.179055
1.488250,0.141130
1.626159,0.099757
1.608920,0.268695
1.467564,0.285934
1.464116,0.447976
1.608920,0.403156
1.591682,0.568646
1.333103,0.327306
1.329656,0.465215
1.229672,0.361783
1.105554,0.261800
1.102107,0.403156
1.005571,0.303172
0.905587,0.347993
0.905587,0.227323
0.805604,0.237666
0.767679,0.385917
0.684934,0.303172
0.588398,0.220427
0.564264,0.344545
0.460832,0.265247
0.378087,0.179055
0.364296,0.303172
0.278104,0.216980
0.240179,0.344545
0.164329,0.258352
0.060898,0.199741
0.047107,0.303172
-0.059772,0.237666
-0.097697,0.344545
-0.176994,0.285934
-0.273530,0.237666
-0.297664,0.316963
-0.321798,0.423842
-0.211471,0.399708
-0.239053,0.499692
-0.118383,0.465215
-0.001161,0.423842
0.105718,0.503140
0.122957,0.385917
0.222940,0.461767
0.340162,0.420394
0.302238,0.537617
0.443594,0.503140
0.460832,0.396261
0.550473,0.444528
0.643561,0.420394
0.647009,0.537617
0.750440,0.506587
0.864215,0.465215
0.846976,0.620362
0.964198,0.565198
1.081420,0.541064
1.067630,0.689316
1.208986,0.503140
1.208986,0.665182
1.333103,0.620362
1.288283,0.747927
1.412401,0.727241
1.464116,0.582437
1.567548,0.682421
0.062415,0.620005
0.137556,0.703196
0.183177,0.579751
0.261001,0.662942
0.400548,0.620005
0.526678,0.579751
0.478373,0.724665
0.601818,0.681727
0.727948,0.641473
0.687694,0.783704
0.808455,0.743450
0.929217,0.724665
